Game,Engine Side,Result,Outcome,Nodes,Cutoffs,Depth
1,White,0-1,Loss,201925,134359,4
2,Black,1-0,Loss,286571,187641,4
3,White,0-1,Loss,201925,134359,4
4,Black,1-0,Loss,286571,187641,4
5,White,0-1,Loss,201925,134359,4
6,Black,1-0,Loss,286571,187641,4
7,White,0-1,Loss,201925,134359,4
8,Black,1-0,Loss,286571,187641,4
9,White,0-1,Loss,201925,134359,4
10,Black,1-0,Loss,286571,187641,4
