Game,Engine Side,Result,Outcome,Nodes,Cutoffs,Depth
1,White,0-1,Loss,8774,7750,3
2,Black,1-0,Loss,7127,6114,3
3,White,0-1,Loss,8774,7750,3
4,Black,1-0,Loss,7127,6114,3
5,White,0-1,Loss,8774,7750,3
6,Black,1-0,Loss,7127,6114,3
7,White,0-1,Loss,8774,7750,3
8,Black,1-0,Loss,7127,6114,3
9,White,0-1,Loss,8774,7750,3
10,Black,1-0,Loss,7127,6114,3
