Game,Engine Side,Result,Outcome,Nodes,Cutoffs,Depth
1,White,0-1,Loss,617,0,2
2,Black,1-0,Loss,841,0,2
3,White,0-1,Loss,617,0,2
4,Black,1-0,Loss,841,0,2
5,White,0-1,Loss,617,0,2
6,Black,1-0,Loss,841,0,2
7,White,0-1,Loss,617,0,2
8,Black,1-0,Loss,841,0,2
9,White,0-1,Loss,617,0,2
10,Black,1-0,Loss,841,0,2
